huolizhuminh/NetWorkPacketCapture,https://github.com/huolizhuminh/NetWorkPacketCapture,It is used to capture network packet via Android VPN.,1.5k,2019/6/29 5:40
viljoviitanen/setup-simple-pptp-vpn,https://github.com/viljoviitanen/setup-simple-pptp-vpn,"This is a very old repo, and a script that used to work years ago. Please find a newer vpn setup.",695,2016/9/2 18:37
yukaiji/buildVpn,https://github.com/yukaiji/buildVpn,图文教程搭建一个vpn翻墙,572,2022/2/23 19:45
subspacecloud/subspace,https://github.com/subspacecloud/subspace,A simple WireGuard VPN server GUI,2.2k,2022/2/10 0:14
mehrdadrad/radvpn,https://github.com/mehrdadrad/radvpn,Decentralized VPN,1.1k,2020/5/23 5:45
l-n-s/wireguard-install,https://github.com/l-n-s/wireguard-install,WireGuard VPN server installer,627,2020/2/16 22:13
ambrop72/badvpn,https://github.com/ambrop72/badvpn,"NCD scripting language, tun2socks proxifier, P2P VPN",1.7k,2021/8/22 23:44
Chocobozzz/OpenVPN-Admin,https://github.com/Chocobozzz/OpenVPN-Admin,"Install and administrate OpenVPN with a web interface (logs visualisations, users managing...)",874,2021/11/25 7:19
sharmajv/vpn,https://github.com/sharmajv/vpn,VPN软件（小三VPN），完全免费，不注册，不限速，不限流，不看广告不流氓,336,2022/2/6 22:11
TommyLau/docker-ocserv,https://github.com/TommyLau/docker-ocserv,Docker OpenConnect VPN Server,283,2019/9/3 19:08
pivpn/pivpn,https://github.com/pivpn/pivpn,"The Simplest VPN installer, designed for Raspberry Pi",4.9k,2022/2/14 6:55
kanocz/lcvpn,https://github.com/kanocz/lcvpn,Decentralized VPN in golang,480,2019/12/10 17:22
webdigi/AWS-VPN-Server-Setup,https://github.com/webdigi/AWS-VPN-Server-Setup,"Setup your own private, secure, free* VPN on the Amazon AWS Cloud in 10 minutes. CloudFormation",691,2022/1/28 16:51
adrienverge/openfortivpn,https://github.com/adrienverge/openfortivpn,Client for PPP+SSL VPN tunnel services,1.6k,2022/2/14 4:32
vpnhood/VpnHood,https://github.com/vpnhood/VpnHood,Undetectable Fast Portable VPN,224,2022/1/27 10:16
ss-abramchuk/OpenVPNAdapter,https://github.com/ss-abramchuk/OpenVPNAdapter,Objective-C wrapper for OpenVPN library. Compatible with iOS and macOS.,387,2021/9/16 21:03
ftao/vpn-deploy-playbook,https://github.com/ftao/vpn-deploy-playbook,A Collection of Ansible Playbook for deploy vpn services,916,2018/2/9 23:23
lmc999/auto-add-routes,https://github.com/lmc999/auto-add-routes,China Route for VPN,454,2022/2/1 10:04
gaomd/docker-ikev2-vpn-server,https://github.com/gaomd/docker-ikev2-vpn-server,"IKEv2 VPN Server on Docker, with .mobileconfig for iOS & macOS.",868,2021/11/21 11:16
StarshipEngineer/OpenVPN-Setup,https://github.com/StarshipEngineer/OpenVPN-Setup,Shell script to set up Raspberry Pi (TM) as an OpenVPN server,749,2020/7/27 5:45
OrchidTechnologies/orchid,https://github.com/OrchidTechnologies/orchid,"Orchid: VPN, Personal Firewall",533,2022/2/19 21:53
ezaquarii/vpn-at-home,https://github.com/ezaquarii/vpn-at-home,"1-click, self-hosted deployment of OpenVPN with DNS ad blocking sinkhole",1.1k,2020/8/9 23:10
yichengchen/RabbitVpnDemo,https://github.com/yichengchen/RabbitVpnDemo,a demo project for testing iOS network extension with NEkit,391,2020/3/1 13:28
yuger/VPN2018,https://github.com/yuger/VPN2018,One Click VPN for Android. 一键连接VPN Android 专用.,113,2018/3/6 22:38
unbit/vpn-ws,https://github.com/unbit/vpn-ws,A VPN system over websockets,500,2021/3/8 17:40
ejrv/VPNs,https://github.com/ejrv/VPNs,List of datacenter & VPN IP addresses,305,2021/4/21 3:02
Azure/Azure-vpn-config-samples,https://github.com/Azure/Azure-vpn-config-samples,VPN configuration samples for VPN devices with work with Azure VPN Gateways,107,2021/8/13 16:32
gayanvoice/android-vpn-client-ics-openvpn,https://github.com/gayanvoice/android-vpn-client-ics-openvpn,⭐ Create your Android VPN App by using Android Studio and publish to Google Play Store 🤖,391,2021/10/5 5:25
jjqqkk/android-vpn,https://github.com/jjqqkk/android-vpn,VPN and video downloader for Android,399,2019/3/12 10:55
udpsec/awesome-vpn,https://github.com/udpsec/awesome-vpn,科学上网的有趣项目集锦，欢迎大家pr自己喜欢的项目到这里。,461,2020/10/31 16:16
mobilejazz/docker-ipsec-vpn-server,https://github.com/mobilejazz/docker-ipsec-vpn-server,Multi-user IPSec server docker image,376,2019/11/8 0:53
we11adam/ShadowVPN,https://github.com/we11adam/ShadowVPN,,23,2015/8/17 22:57
ashraf789/Cake-VPN,https://github.com/ashraf789/Cake-VPN,Android VPN app based on OpenVPN library.,191,2021/12/1 0:30
waylau/vpngate-mirrors,https://github.com/waylau/vpngate-mirrors,"Here are the newset VPN Gate web site’s mirrors .With the VPN Gate, you can get through your government's firewall to browse restricted websites.提供最新的访问 VPN Gate 镜像网站,通过使用 VPN 自由访问互联网(翻墙)！",355,2021/9/24 23:22
mobtitude/docker-vpn-pptp,https://github.com/mobtitude/docker-vpn-pptp,Simple VPN (PPTP) server in Docker,273,2020/5/19 14:55
carolcoral/no-free_vpn,https://github.com/carolcoral/no-free_vpn,亲测可用的 VPN。亲测有效的科学上网，同时支持 windows、mac、linux、ios 和 andrioid 系统。并提供 chrome、firefox、opera 等浏览器的插件使用。,613,2021/11/10 22:16
MaxSmile/EasyVPN-Free,https://github.com/MaxSmile/EasyVPN-Free,Open source Android application on base of OpenVPN and VpnGate projects,257,2020/11/19 1:44
adandou/dou-api,https://github.com/adandou/dou-api,科学上网 🍀🍀 科学上外网 🔥🔥,141,2020/12/3 10:16
siomiz/SoftEtherVPN,https://github.com/siomiz/SoftEtherVPN,A Docker Automated Build Repository for SoftEther VPN,338,2021/8/22 3:57
yuger/VPN_2017,https://github.com/yuger/VPN_2017,Android open source VPN client released on Google Play store.,147,2018/7/18 16:18
waylau/free-vpn,https://github.com/waylau/free-vpn,"We Provide Newset Free VPN Service. PC, mobile phones and network appliances, no software installation. With the VPN Service,you can get through your government's firewall to browse restricted websites.提供最新的免费的 VPN 服务,通过使用 VPN 自由访问互联网(翻墙)！无论是PC端，移动端都无需安装客户端。",288,2017/3/18 22:47
X-dea/flutter_vpn,https://github.com/X-dea/flutter_vpn,Plugin to access VPN service for Flutter | Flutter 的 VPN 插件,220,2021/12/14 20:43
lightyearvpn/LightyearVPN,https://github.com/lightyearvpn/LightyearVPN,翻墙，科学上网，梯子，VPN，加速器，外网，代理，路由，防火墙，GFW，VPN下载。支持UDP，游戏必备。免费VPN试用，全球部署Trojan节点，Shadowsocks节点，V2ray节点。提供免费SS节点和。,402,2021/6/27 12:03
0x36/VPNPivot,https://github.com/0x36/VPNPivot,Explore the network using VPNPivot tool,225,2016/7/21 16:49
microsoft/PQCrypto-VPN,https://github.com/microsoft/PQCrypto-VPN,Post-quantum Cryptography VPN,264,2020/9/5 2:45
Zomboided/service.vpn.manager,https://github.com/Zomboided/service.vpn.manager,VPN plugin for Kodi,252,2021/10/10 20:47
Smartype/iOS_VPNPlugIn,https://github.com/Smartype/iOS_VPNPlugIn,VPN PlugIn API for iOS,138,2014/10/6 20:28
fivesheep/chnroutes,https://github.com/fivesheep/chnroutes,"scripts help chinese netizen, who uses vpn to combat censorship, by modifying the route table so as routing only the censored ip to the vpn",3k,2018/9/6 16:02
dlenski/vpn-slice,https://github.com/dlenski/vpn-slice,vpnc-script replacement for easy and secure split-tunnel VPN setup,437,2022/2/24 7:13
mellow-io/mellow,https://github.com/mellow-io/mellow,"Mellow is a rule-based global transparent proxy client for Windows, macOS and Linux. Also a Proxifier alternative.",3.4k,2022/2/13 12:24
yuyao110120/ShadowVPN-iOS,https://github.com/yuyao110120/ShadowVPN-iOS,,110,2015/8/10 21:54
bedefaced/vpn-install,https://github.com/bedefaced/vpn-install,"Simple PPTP, L2TP/IPsec, OpenVPN installers",172,2019/12/6 7:51
getlantern/lantern,https://github.com/getlantern/lantern,Lantern官方版本下载 蓝灯 翻墙 代理 科学上网 外网 加速器 梯子 路由 lantern proxy vpn censorship-circumvention censorship gfw accelerator,10.6k,2022/2/16 4:34
k-skye/OpenVpn-Flow-Control-System,https://github.com/k-skye/OpenVpn-Flow-Control-System,康师傅流控4.1纪念版PHP源码，使用PHP7.3制作，仅供交流学习与研究。,68,2022/2/4 12:00
fanqiang-vpn/fanqiang-vpn.github.io,https://github.com/fanqiang-vpn/fanqiang-vpn.github.io,2021年 中国翻墙软件、VPN推荐指南，对比VPS搭建梯子、SSR机场、蓝灯、WireGuard、V2ray、老王VPN等科学上网软件与翻墙方法，中国最新科学上网翻墙VPN梯子下载推荐，稳定好用。,510,2021/8/10 2:50
kean/VPN,https://github.com/kean/VPN,Sample custom VPN client/server in Swift,94,2020/6/15 2:36
xl-tech/OpenVPN-easy-setup,https://github.com/xl-tech/OpenVPN-easy-setup,Bash script for easy and fast OpenVPN deploy,235,2019/10/1 16:26
qin-ziqi/SetupVPN,https://github.com/qin-ziqi/SetupVPN,setupvpn for chrome,171,2022/2/18 9:55
kitten/setup-simple-ipsec-l2tp-vpn,https://github.com/kitten/setup-simple-ipsec-l2tp-vpn,Setup a simple IPSec/L2TP VPN Server for Ubuntu and Debian,646,2017/12/10 1:34
CatchChat/Hydro.network,https://github.com/CatchChat/Hydro.network,The most delightful VPN Client,421,2015/8/13 5:40
xiihaiqal/AutoScriptVPS,https://github.com/xiihaiqal/AutoScriptVPS,VPN AutoScript,40,2021/12/31 12:25
Psiphon-Inc/psiphon-ios-vpn,https://github.com/Psiphon-Inc/psiphon-ios-vpn,Psiphon iOS VPN Client,161,2022/2/18 2:22
haugene/vpn-configs-contrib,https://github.com/haugene/vpn-configs-contrib,A collection of configs for various VPN providers,42,2022/2/15 8:03
ExodusVPN/exodus,https://github.com/ExodusVPN/exodus,network proxy and tunnel (VPN),440,2021/4/29 5:53
vpnforchina/vpnforchina.github.io,https://github.com/vpnforchina/vpnforchina.github.io,2022中国翻墙软件和科学上网推荐指南，最新稳定好用的翻墙VPN推荐，能用的VPN梯子不多了，以及对比VPS自建梯子、SSR机场、V2ray、蓝灯、老王VPN、WireGuard等翻墙软件和科学上网方法。,501,2022/2/9 11:03
zhangzhu195211/VPN,https://github.com/zhangzhu195211/VPN,"给网友留下的免费翻墙,国外网盘立即就能拿去用 #apk #android #我们的谷歌玩",24,2019/5/15 19:12
meyerd/n2n,https://github.com/meyerd/n2n,A development branch of the n2n p2p vpn software,864,2021/9/5 0:07
skycoin/skywire-testnet,https://github.com/skycoin/skywire-testnet,Skywire Meshnet and VPN,166,2021/10/6 3:49
AoEiuV020/VpnProxy,https://github.com/AoEiuV020/VpnProxy,"An android client for Proxy use VpnService, based on BaoLianDeng",71,2021/3/27 8:35
russdill/juniper-vpn-py,https://github.com/russdill/juniper-vpn-py,Python Juniper VPN Authenticator,95,2020/7/13 19:12
klinquist/iOS-VPN-Autoconnect,https://github.com/klinquist/iOS-VPN-Autoconnect,Generates a mobileconfig file to auto-connect to a VPN on your iOS device.,233,2022/1/20 0:22
zhoudaxiaa/vpn-,https://github.com/zhoudaxiaa/vpn-,免费的vpn软件分享,99,2018/9/3 14:46
sakai135/wsl-vpnkit,https://github.com/sakai135/wsl-vpnkit,Provide network connectivity to WSL 2 when blocked by VPN,430,2022/2/17 7:53
travislee8964/L2TP-VPN-installation-script-for-CentOS-7,https://github.com/travislee8964/L2TP-VPN-installation-script-for-CentOS-7,L2TP VPN installation script for CentOS 7,215,2022/1/11 8:32
mullvad/mullvadvpn-app,https://github.com/mullvad/mullvadvpn-app,The Mullvad VPN client app for desktop and mobile,2.1k,2022/2/23 23:47
trojan-tutor/VPN,https://github.com/trojan-tutor/VPN,Trojan windows 客户端，配置不会随着Trojan更新而变化，故不再维护，只需要替换CommandTrayHost-x64目录中的trojan文件夹即可。另外，现在已经有不少集成客户端可用了，可参考我fork的项目，自己挑一个自己认为好用的即可，配置都差不多。,33,2020/3/26 21:40
rajannpatel/Pi-Hole-PiVPN-on-Google-Compute-Engine-Free-Tier-with-Full-Tunnel-and-Split-Tunnel-OpenVPN-Configs,https://github.com/rajannpatel/Pi-Hole-PiVPN-on-Google-Compute-Engine-Free-Tier-with-Full-Tunnel-and-Split-Tunnel-OpenVPN-Configs,Run your own privacy-first ad blocking service in the cloud for free on Google Cloud Services.,1.2k,2021/4/29 23:23
crazw/vpn4in1,https://github.com/crazw/vpn4in1,pptp+openvpn(obfsproxy)+l2tp+shadowsocks集成安装脚本,49,2016/1/27 17:04
ivanilves/xiringuito,https://github.com/ivanilves/xiringuito,"SSH-based ""VPN for poors""",1k,2021/12/29 15:26
xinthink/xinkvpn,https://github.com/xinthink/xinkvpn,VPN connector for android,124,2014/2/14 8:43
davlxd/NEPacketTunnelVPNDemo,https://github.com/davlxd/NEPacketTunnelVPNDemo,iOS VPN client implementation demo based on iOS9 NetworkExtension NETunnelProvider APIs,185,2020/7/12 18:00
terraform-aws-modules/terraform-aws-vpn-gateway,https://github.com/terraform-aws-modules/terraform-aws-vpn-gateway,Terraform module which creates VPN gateway resources on AWS,79,2022/1/10 17:25
puxxustc/muon,https://github.com/puxxustc/muon,A fast stateless VPN with simple obfuscation,123,2018/1/29 1:07
adrelanos/vpn-firewall,https://github.com/adrelanos/vpn-firewall,Leak Protection (Fail Safe Mechanism) for (Open)VPN,143,2019/1/27 13:03
peervpn/peervpn,https://github.com/peervpn/peervpn,The open source peer-to-peer VPN,370,2019/8/26 15:45
pia-foss/vpn-ios,https://github.com/pia-foss/vpn-ios,Private Internet Access - PIA VPN for iOS,160,2021/7/16 18:04
MireatPaints/vpn,https://github.com/MireatPaints/vpn,老王vpn,18,2020/3/5 18:48
Mehonoshin/smartvpn-billing,https://github.com/Mehonoshin/smartvpn-billing,Billing and auth system for VPN provider,257,2022/1/22 12:50
cernekee/ics-openconnect,https://github.com/cernekee/ics-openconnect,Android UI for OpenConnect VPN client,302,2020/11/26 3:38
iCepa/iCepa,https://github.com/iCepa/iCepa,iOS system-wide VPN based Tor client,599,2021/10/21 20:06
skx/simple-vpn,https://github.com/skx/simple-vpn,"A simple VPN allowing mesh-like communication between nodes, over websockets",232,2020/1/29 2:11
qwj/python-vpn,https://github.com/qwj/python-vpn,VPN Server implemented in pure Python. (For Research Purposes Only),155,2021/2/24 12:57
sbatrow/DARKSSH-MANAGER,https://github.com/sbatrow/DARKSSH-MANAGER,privet vpn to vps,39,2021/12/19 18:11
max-moser/network-manager-wireguard,https://github.com/max-moser/network-manager-wireguard,NetworkManager VPN Plugin: Wireguard,288,2022/1/4 18:21
ZSCDumin/VPN,https://github.com/ZSCDumin/VPN,ShadowSocks 翻墙（收费服务器：120元/年，1T流量，可看1080p视频。需要的可以联系微信：Dumin2712220318 ）,58,2021/8/20 21:50
google/vpn-reverse-tether,https://github.com/google/vpn-reverse-tether,"VPN-based USB ""reverse tether""",155,2016/11/21 5:07
johnlui/FireUpYourVPN,https://github.com/johnlui/FireUpYourVPN,在通知中心一键启用 VPN,316,2016/9/28 20:58
getlantern/download,https://github.com/getlantern/download,Lantern官方版本下载 蓝灯 翻墙 代理 科学上网 外网 加速器 梯子 路由 proxy vpn circumvention gfw,15.8k,2020/8/15 8:26
ProtonVPN/win-app,https://github.com/ProtonVPN/win-app,Official ProtonVPN Windows app,519,2022/2/18 15:12
bannedbook/v2ray.vpn,https://github.com/bannedbook/v2ray.vpn,"V2free for android, a V2ray and Shadowsocks client with many builtin free servers.",214,2021/9/10 15:04
tailscale/tailscale,https://github.com/tailscale/tailscale,"The easiest, most secure way to use WireGuard and 2FA.",6.7k,2022/2/24 7:51
aliasmee/alpine-ikev2-vpn,https://github.com/aliasmee/alpine-ikev2-vpn,Small Simple Free runing container's IKEv2 VPN base alpine image.,210,2019/4/30 20:16
mozilla-mobile/mozilla-vpn-client,https://github.com/mozilla-mobile/mozilla-vpn-client,"A fast, secure and easy to use VPN. Built by the makers of Firefox.",204,2022/2/24 7:10
darrenmartyn/VisualDoor,https://github.com/darrenmartyn/VisualDoor,SonicWall SSL-VPN Exploit,164,2021/1/25 3:26
pigpigchacha/PigchaVPN,https://github.com/pigpigchacha/PigchaVPN,"科学上网，上网加速，VPN工具，上网代理，浏览器代理，Git代理，控制台代理！！客户端下载！！！比shadowsocks , v2ray 更快的梯子/免费梯子/付费梯子 官网地址：https://pigpigchacha.github.io/officialsite",296,2022/1/12 22:29
Genymobile/gnirehtet,https://github.com/Genymobile/gnirehtet,Gnirehtet provides reverse tethering for Android,4.1k,2022/1/5 19:59
passepartoutvpn/tunnelkit,https://github.com/passepartoutvpn/tunnelkit,VPN client library for Apple platforms.,258,2022/2/10 1:47
Dragon2fly/vpngate-with-proxy,https://github.com/Dragon2fly/vpngate-with-proxy,"vpn gate client for linux, be able to connect to open vpn server through proxy",167,2020/7/12 10:39
0xv0idx/flutter_vpn_example,https://github.com/0xv0idx/flutter_vpn_example,Example Flutter VPN Application,112,2021/9/7 19:47
Zomboided/service.vpn.manager.providers,https://github.com/Zomboided/service.vpn.manager.providers,Repository for VPN information for service.vpn.manager,46,2022/2/23 17:27
dlenski/openconnect,https://github.com/dlenski/openconnect,OpenConnect client extended to support Palo Alto Networks' GlobalProtect VPN,661,2020/12/2 4:56
0x90/vpn-arsenal,https://github.com/0x90/vpn-arsenal,VPN pentest tools and scripts,103,2017/6/18 17:48
halo/macosvpn,https://github.com/halo/macosvpn,🔧 Create macOS VPNs programmatically (L2TP & Cisco),374,2021/5/1 5:51
sockeye44/instavpn,https://github.com/sockeye44/instavpn,the most user-friendly L2TP/IPsec VPN server,838,2019/7/31 3:03
firezone/firezone,https://github.com/firezone/firezone,WireGuard-based VPN server and firewall,1.1k,2022/2/24 6:22
AdAway/AdAway,https://github.com/AdAway/AdAway,AdAway is a free and open source ad blocker for Android.,3.8k,2022/2/22 8:24
cnf/docker-softether,https://github.com/cnf/docker-softether,Dockerfile for SoftEther VPN,67,2016/6/26 23:44
nsacyber/goSecure,https://github.com/nsacyber/goSecure,An easy to use and portable Virtual Private Network (VPN) system built with Linux and a Raspberry Pi. #nsacyber,937,2017/6/28 4:17
wlanslovenija/tunneldigger,https://github.com/wlanslovenija/tunneldigger,L2TPv3 VPN tunneling solution,66,2021/5/20 22:25
guardianproject/OrbotVPN,https://github.com/guardianproject/OrbotVPN,THIS IS A DEPRECATED PROJECT AND CLOSED! SEE WEBSITE LINK FOR LATEST ORBOT WITH VPN SUPPORT!,77,2014/7/29 11:34
cityofEmbera/shadowVPN,https://github.com/cityofEmbera/shadowVPN,shadowVPN,28,2015/8/26 22:50
ubergarm/l2tp-ipsec-vpn-client,https://github.com/ubergarm/l2tp-ipsec-vpn-client,A tiny Alpine based docker image to quickly setup an L2TP over IPsec VPN client w/ PSK.,132,2019/7/24 17:16
shengzx/--lantern--vpn,https://github.com/shengzx/--lantern--vpn,蓝灯-lantern-免费vpn,71,2021/8/22 13:57
masihjay-z/vpns,https://github.com/masihjay-z/vpns,A collection of vpns,103,2022/2/5 14:31
amritb/poor-mans-vpn,https://github.com/amritb/poor-mans-vpn,An ansible playbook to set up wireguard server.,601,2022/1/13 14:28
gregnietsky/simpletun,https://github.com/gregnietsky/simpletun,Example program for tap driver VPN,180,2020/1/10 7:10
Soyokaze99/VPNFirewall,https://github.com/Soyokaze99/VPNFirewall,Prototyp of non root Firewall for Android 4+,52,2014/9/10 13:50
samm-git/aws-vpn-client,https://github.com/samm-git/aws-vpn-client,Connect to the AWS Client VPN with SAML using OSS Client,119,2022/1/8 8:02
OpenVPN/openvpn3,https://github.com/OpenVPN/openvpn3,"OpenVPN 3 is a C++ class library that implements the functionality of an OpenVPN client, and is protocol-compatible with the OpenVPN 2.x branch.",620,2022/2/24 2:50
pritunl/pritunl-client-electron,https://github.com/pritunl/pritunl-client-electron,Pritunl OpenVPN client,918,2022/2/23 21:14
openstack/neutron-vpnaas,https://github.com/openstack/neutron-vpnaas,Virtual private network services for OpenStack Neutron. Mirror of code maintained at opendev.org.,58,2022/1/26 8:09
wknapik/vpnfailsafe,https://github.com/wknapik/vpnfailsafe,IP leak prevention for OpenVPN,137,2018/12/17 10:52
zodsoft/LightVPN,https://github.com/zodsoft/LightVPN,"A Light PPTP VPN Client for Android, without requirement of lockscreen passwords",53,2014/7/14 14:02
amnezia-vpn/desktop-client,https://github.com/amnezia-vpn/desktop-client,Amnezia VPN Client (Desktop+Mobile),296,2022/2/23 22:57
zysallen/chrome,https://github.com/zysallen/chrome,VPN Chrome is Google Chromium based browser with built-in VPN capability to let users surf the Internet in a secure and private way.,15,2018/7/23 9:52
AnhTVc/OpenVPN-IOS,https://github.com/AnhTVc/OpenVPN-IOS,Build OpenVPN source for IOS,110,2019/3/8 0:16
peacey/split-vpn,https://github.com/peacey/split-vpn,A split tunnel VPN script for the UDM Pro with policy based routing.,329,2022/2/15 8:17
ashi009/bestroutetb,https://github.com/ashi009/bestroutetb,Generating the most optimized route table for VPN users.,877,2016/5/14 22:21
Laarryy/Anti-VPN,https://github.com/Laarryy/Anti-VPN,Get the best; save money on overpriced plugins and block VPN users!,80,2021/11/17 14:45
zehome/MLVPN,https://github.com/zehome/MLVPN,Multi-link VPN (ADSL/SDSL/xDSL/Network aggregation / bonding),435,2021/10/29 0:26
meshbird/meshbird,https://github.com/meshbird/meshbird,Distributed private networking,3.4k,2020/8/3 21:19
naufaldi/next-landing-vpn,https://github.com/naufaldi/next-landing-vpn,An Open Source Landingpage For VPN or Apps. Build using NextJS 10 and Tailwind v2.0,113,2021/1/7 12:58
Timac/VPNStatus,https://github.com/Timac/VPNStatus,"VPNStatus, a replacement for macOS builtin VPN Status",107,2022/2/11 15:27
mightofcode/android-vpnservice-example,https://github.com/mightofcode/android-vpnservice-example,"a android vpnservice example, use blocking io",130,2021/4/12 1:15
SummerOak/VpnService_android,https://github.com/SummerOak/VpnService_android,"An Android aar library contains a set of traffic control methods(such as proxy, packet capture) implement by VpnService;",40,2018/10/7 11:44
ixzzVing/SSR-VPN,https://github.com/ixzzVing/SSR-VPN,Shadowsocks & ShadowsocksR & V2Ray & V2RayNG & VNET/酸酸乳节点及客户端,68,2019/11/22 11:16
deranjer/OpenVPN-PHP-Management-Gui,https://github.com/deranjer/OpenVPN-PHP-Management-Gui,OpenVPN-PHP-Gui is a php script to manage your openvpn installation.,106,2016/1/28 12:05
terraform-google-modules/terraform-google-vpn,https://github.com/terraform-google-modules/terraform-google-vpn,A Terraform Module for setting up Google Cloud VPN,52,2022/2/5 23:53
Stanback/alpine-strongswan-vpn,https://github.com/Stanback/alpine-strongswan-vpn,Dockerfile and related configuration for setting up a roadwarrior IKEv2-based VPN,82,2018/6/22 16:59
BobNisco/adblocking-vpn,https://github.com/BobNisco/adblocking-vpn,🔒 Create your own VPN server that blocks malicious domains to enhance your security and privacy,145,2018/1/4 8:41
davlxd/simple-vpn-demo,https://github.com/davlxd/simple-vpn-demo,A Simple Point-to-Point tunnelling implementation in C,72,2019/9/23 4:04
turnkeylinux-apps/openvpn,https://github.com/turnkeylinux-apps/openvpn,OpenVPN - Open Source VPN solution,69,2021/8/4 7:18
